#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
1.0282e+01 9.2407e-09 7.7546e-05 2.0629e-26 4.9335e+02 F
3.6158e-08 2.6700e-13 4.1005e-09 1.0132e-29 2.2876e+02 F
2.1136e-10 2.1454e-15 4.4392e-11 7.9765e-27 1.1385e+03 F
2.4526e-11 7.9833e-15 0.0000e+00 5.3312e-26 1.9049e+03 S
4.3823e+01 9.2663e-09 2.6718e-03 4.8234e-28 7.5416e+01 F
1.0568e-10 1.2689e-14 0.0000e+00 6.8337e-26 1.6809e+03 S
1.6594e+01 2.0663e-09 1.2549e-04 2.2982e-26 2.2706e+02 F
3.0672e-07 8.5290e-13 0.0000e+00 5.5871e-26 1.8624e+03 S
9.5303e+00 7.1474e-09 6.6121e-05 1.9225e-26 4.7407e+02 F
8.8972e-03 6.5000e-10 0.0000e+00 5.9135e-26 3.2826e+03 S
5.8036e-18 2.9832e-18 2.5573e-15 9.0456e-27 1.0685e+03 F
3.3852e+02 1.2345e-08 1.0854e-03 1.3173e-26 1.5659e+02 F
1.3590e-17 8.8967e-18 0.0000e+00 7.4472e-27 1.1786e+03 F
1.0841e-08 1.5438e-13 0.0000e+00 5.7658e-26 1.8318e+03 S
3.2359e-06 2.8566e-12 0.0000e+00 5.4715e-26 1.8810e+03 S
2.4890e-09 8.4044e-14 0.0000e+00 5.1212e-26 1.9434e+03 S
8.0674e-03 3.2210e-10 0.0000e+00 6.4141e-26 2.1167e+03 S
3.7926e+02 1.6975e-08 3.4538e-03 3.5075e-27 9.2180e+01 F
3.9247e-11 4.3627e-15 1.2017e-11 8.8258e-27 1.0818e+03 F
4.1681e-11 4.3626e-15 1.3559e-11 8.4206e-27 1.1078e+03 F
1.9291e-04 1.6169e-11 0.0000e+00 8.0676e-26 1.5590e+03 S
2.5869e-06 2.8820e-12 0.0000e+00 4.9034e-26 1.9924e+03 S
1.7777e+02 5.1097e-08 1.1676e-03 1.2249e-27 1.0202e+02 F
6.0050e+02 6.3540e-10 3.4395e-03 4.0030e-27 1.0774e+02 F
5.6243e-10 8.0691e-13 6.9472e-09 6.0311e-32 1.2179e+02 F
5.1396e-11 7.7763e-14 2.3504e-08 4.2465e-33 1.1964e+02 F
4.8493e+01 1.6806e-08 2.6995e-03 4.8672e-28 7.9762e+01 F
4.1485e+01 7.6081e-09 2.5363e-03 4.5784e-28 7.5293e+01 F
9.1169e+00 4.8966e-08 1.0536e-05 2.6901e-27 3.6863e+02 F
3.1945e-04 3.3587e-11 0.0000e+00 5.4064e-26 1.9321e+03 S
